meter_id,latitude,longitude,last_verified_date
1,27.307197,-81.941124,2007-03-06
2,29.7765,-83.371582,2007-04-30
3,30.71806,-83.331206,2007-05-21
4,25.294503,-84.912655,2007-05-20
5,30.617344,-84.38568,2006-12-14
6,30.794591,-83.036883,2007-03-01
7,25.173404,-83.743665,2007-01-09
8,28.768786,-85.895739,2006-12-28
9,26.775741,-83.372382,2006-12-30
10,29.456937,-83.23684,2007-03-20
11,29.993509,-80.193446,2007-05-09
12,28.488226,-82.715486,2006-12-07
13,28.458467,-82.600483,2007-05-27
14,26.23841,-86.228838,2007-05-29
15,29.455662,-80.596315,2007-02-28
16,24.539688,-80.989043,2007-04-24
17,28.77274,-87.071151,2007-05-12
18,30.816767,-86.902642,2007-04-15
19,25.898364,-84.409273,2007-02-26
20,25.52316,-85.231556,2007-02-22
21,29.549432,-83.286289,2006-12-22
22,30.241724,-86.417593,2007-05-08
23,24.823456,-86.97998,2007-03-24
24,28.802602,-83.908971,2007-03-24
25,27.192194,-85.961676,2007-04-11
26,25.239814,-84.332656,2007-02-11
27,28.908416,-83.09218,2007-04-14
28,28.836362,-87.254828,2007-03-12
29,30.898897,-87.183657,2007-01-22
30,26.459226,-85.994622,2007-01-05
31,29.467046,-85.400202,2006-12-31
32,24.550244,-81.922693,2007-01-14
33,25.339707,-83.552374,2007-01-28
34,27.751705,-81.266508,2007-03-01
35,24.968491,-81.050591,2006-12-11
36,27.335427,-84.105868,2006-12-20
37,30.103715,-83.22423,2007-04-26
38,27.128749,-82.734923,2007-02-13
39,25.248627,-87.44149,2007-02-22
40,25.617176,-80.398131,2007-03-28
41,29.908168,-80.60975,2006-12-23
42,27.338627,-86.79544,2007-03-22
43,28.327663,-83.617885,2007-03-12
44,30.158409,-81.931883,2007-01-26
45,26.664946,-86.322191,2007-04-10
46,28.61596,-83.567403,2007-01-19
47,30.388498,-84.944748,2007-05-15
48,29.797741,-85.804357,2007-01-07
49,26.163793,-86.281407,2007-01-09
50,29.441399,-82.618132,2007-01-15
51,30.683399,-82.827589,2007-03-29
52,29.403898,-81.824934,2007-03-25
53,28.927368,-80.896434,2007-05-14
54,28.629439,-82.853634,2007-05-10
55,26.554903,-84.257803,2007-03-31
56,27.374352,-85.298565,2007-02-09
57,28.344228,-84.925239,2006-12-19
58,26.517651,-84.165455,2006-12-15
59,26.896794,-85.418215,2007-05-15
60,30.117625,-81.09977,2007-05-07
61,28.361519,-84.677933,2007-04-28
62,28.103056,-81.582185,2006-12-11
63,27.423269,-81.445399,2007-05-16
64,25.723557,-83.001956,2007-04-08
65,25.480597,-87.12976,2006-12-27
66,29.771284,-81.235933,2007-06-01
67,25.048139,-82.689434,2006-12-11
68,26.110334,-84.273037,2007-03-23
69,27.906446,-82.965479,2007-03-04
70,26.923538,-85.450009,2007-03-15
71,29.534021,-82.440377,2006-12-14
72,29.629975,-82.680479,2006-12-17
73,26.64299,-83.35948,2007-03-09
74,26.346955,-82.099624,2007-05-18
75,30.768665,-83.019474,2007-01-08
76,26.666853,-83.17118,2007-01-06
77,30.458852,-85.242239,2007-05-17
78,29.04012,-84.621119,2007-05-02
79,29.107421,-86.956136,2007-04-23
80,26.948415,-81.583369,2007-01-02
81,28.855757,-81.299912,2007-05-25
82,30.430912,-86.889757,2007-05-21
83,27.252141,-84.850106,2007-03-03
84,26.507629,-80.371113,2007-02-26
85,30.659844,-83.904341,2007-01-27
86,30.999848,-86.422417,2007-02-14
87,29.988785,-86.83133,2007-04-18
88,29.928279,-80.884016,2006-12-10
89,28.80254,-80.939415,2007-05-08
90,25.351819,-84.736929,2007-01-11
91,25.675499,-82.334373,2007-05-09
92,29.758784,-86.341902,2007-03-23
93,24.784001,-84.831324,2007-01-30
94,30.802326,-82.959475,2007-03-25
95,26.021019,-85.782319,2007-03-31
96,30.375833,-86.125477,2007-05-23
97,30.656346,-80.118258,2007-03-29
98,29.501351,-81.686257,2007-04-08
99,27.928489,-80.256362,2007-01-21
100,29.708185,-86.548171,2007-02-03
